RB;ALVT;MSDM;MVS;MTN;MTR;KFK;KDK;KT50M
1;147,5;130;19;17,67;22,33;4,08;136;10,12
2;140,9;181,67;35,67;21,33;28,33;4,24;155;8,52
3;148;88;18,33;15;21,67;3,51;136;11,78
4;161,5;166,67;27,67;20,33;28;3,59;160;9,81
5;154,1;167,67;28;18,67;27,67;4,17;145;9,58
6;143,1;157,67;25;16,33;21,33;3,66;154;9,82
7;142,7;157;28,67;19,67;22,67;3,99;154;9,65
8;147,5;142,33;20,33;17,67;24,33;3,81;148;10,01
9;143,6;163,67;27;19,67;22,33;4,13;155;9,2
10;146,5;151,67;32,67;19;25,67;4,15;153;8,99
11;145,7;154;34;19,33;25,33;4,29;152;8,93
12;139,2;146,67;18,67;17;25,33;4,24;123;10,83
13;144,2;113,67;23,67;17,33;27,67;3,62;137;11,24
14;146,2;136,67;32;15,67;25;4,13;135;10,06
15;133,9;124,67;31,67;17,33;28,33;4,2;148;9,15
16;148;114;27,33;18,67;28;4;148;9,75
17;132,4;128,33;22,33;17,33;24,67;3,76;149;10,09
18;151,7;126,67;22,67;17,67;27,67;4,03;142;9,93
19;137,7;132;17,67;19,67;28,67;4,14;125;11,03
20;154,2;132,33;32,67;16,67;27,67;3,48;178;9,4
21;146,7;146;27,33;12,67;23;3,39;163;10,42
22;155;157;29,33;19,33;25;4,03;148;9,68
23;153;152,67;25,67;17,33;25,67;3,78;155;9,82
24;157;163,33;32;18,67;27,67;3,93;164;8,93
25;143,5;100,67;25,33;15;20,33;4,08;140;9,89
26;144,9;188;31,67;20,67;25;4,37;152;8,74
27;151,4;139,33;24,67;20;28,33;3,99;156;9,33
28;141,1;157;33,67;21;26,67;4,03;158;8,73
29;137,6;150,33;31,33;18,33;24,67;3,95;153;9,41
30;150,4;152,67;31,67;20;26,33;4,16;149;9,25
31;150;152;30,67;18,33;26;4,04;154;9,3
32;156;140,33;27,33;19,67;26,67;4,14;152;9,31
33;153,5;123,33;26,33;17,67;25,33;3,78;147;10,16
34;153,5;142,33;26,67;19,67;22,33;3,61;153;9,89
35;150;121,67;23;19;23,67;3,8;142;10,34
36;147,9;161;30;18,33;23,67;4,02;139;10,33
37;150,1;137,67;25,33;14;19,67;3,45;159;10,23
38;148,1;141,67;33,33;16,67;19,67;3,9;146;10,03
39;140;171,67;32,67;20;22,67;4,09;145;9,53
40;147,6;141,33;20,67;18,67;26,33;3,92;141;10,08
41;149,6;145;25;18,67;24;3,78;152;10,22
42;146,6;141,33;31,33;19;23,33;3,94;141;10,16
43;137,2;140,67;23,67;19,33;24;3,83;143;10
44;136,5;150,33;30;18,67;22,67;4,09;141;9,79
45;142,5;116,33;25,33;17,67;21,67;3,97;144;9,85
46;135;150;22,67;16,67;24;4,43;123;10,24
47;142;146;29;17,33;23,33;4,36;132;9,96
48;135,5;149,33;28,33;17,33;25,67;4,11;136;9,81
49;144,2;120,67;16;16;19,33;4,22;137;10,84
50;141,5;129,67;23,67;15,33;23,67;4,03;137;10,27
51;146,1;119,33;20;13,67;23,67;4,12;132;10,93
52;142,5;152,67;22;17,67;25,33;4,21;136;10,25
53;137,5;141,67;24,33;18,33;24;4,22;136;9,43
54;139,6;124;21,67;17,67;22,67;4,23;127;10,49
55;133;136,67;27;15;24,67;3,61;139;11,22
56;143,2;165,33;33,67;19,33;24,33;3,86;157;9,44
57;140;112,67;26;15,67;21,67;3,69;141;10,57
58;133;136,33;24;17,67;20;3,84;135;10,78
59;140,2;153,67;24;18,67;19,33;4,24;138;9,57
60;146,7;156;24,33;15,67;18,67;3,5;165;9,76
61;139,3;126,67;19,67;15,67;26;4,09;133;10,36
62;141,5;146;29,67;19;26,67;4,29;147;9,2
63;144;166,33;30;17,67;26,33;4,25;153;9,8
64;143,9;152;28,67;16,67;25,33;3,54;167;9,93
65;148,4;139,67;25;18,67;24,67;4,04;143;9,94
66;147,5;134,67;22,67;18,33;23,33;3,97;128;11,07
67;151,9;165,67;31;21;27,67;4,16;149;9,19
68;131,1;136,33;34,67;19,33;23,67;4,2;140;9,71
69;145,2;145,33;30;18;23,33;3,73;154;9,97
70;147,5;163,67;25,67;19,33;27,33;4;150;9,49
71;150,9;184;33,67;21,33;28,67;3,88;166;9,1
72;156,7;143,67;23,33;17,33;28,33;4,29;152;8,89
73;147,2;132,33;25,67;19,67;26;3,91;153;9,54
74;145;144;23,33;17,33;24;4,05;139;10,17
75;153,1;152,33;30,33;18,67;26;4,16;149;9,3
76;144,1;147,67;22;17,33;28,33;4,18;143;9,78
